nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.7366946778711484,3.74,3.66,3.74,5.32,46.44%
Strawberries,0.649859943977591,4.24,3.57,3.99,5.24,70.40%
Strawberries,0.6162464985994397,3.29,3.09,3.74,5.66,65.76%
Strawberries,0.5322128851540616,3.11,3.26,3.32,4.74,73.44%
Strawberries,0.4397759103641457,3.07,3.12,3.37,4.24,97.14%
Strawberries,0.3921568627450981,2.82,3.19,2.87,3.99,103.64%
Strawberries,0.3585434173669468,2.82,3.07,2.62,3.87,111.99%
Strawberries,0.31092436974789917,2.79,2.99,2.62,3.87,137.79%
Strawberries,0.31092436974789917,2.82,2.94,2.25,4.24,137.40%
Strawberries,0.29411764705882354,2.82,2.92,2.3,4.24,149.59%
Strawberries,0.29971988795518206,2.77,2.56,2.42,3.74,129.80%
Strawberries,0.29971988795518206,2.77,2.93,2.35,3.62,133.40%
Strawberries,0.28291316526610644,2.89,2.49,2.67,3.62,145.17%
Strawberries,0.24649859943977592,2.72,2.49,2.62,3.24,161.08%
Strawberries,0.23809523809523814,2.61,2.74,2.62,3.49,178.16%
Strawberries,0.23809523809523814,2.47,2.36,2.57,3.87,173.54%
Strawberries,0.2745098039215686,2.27,2.62,2.49,3.82,141.38%
Strawberries,0.2745098039215686,2.27,2.62,2.49,3.82,141.38%
Strawberries,0.23809523809523814,2.27,2.49,2.44,3.37,156.55%
Strawberries,0.20448179271708689,2.26,2.62,2.25,2.66,168.96%
Strawberries,0.044817927170868355,2.44,2.62,2.37,2.99,666.18%
Strawberries,0.21288515406162467,2.12,2.49,1.84,2.74,144.41%
Strawberries,0.20448179271708689,2.0,2.37,2.49,2.74,163.74%
Strawberries,0.20448179271708689,2.24,2.47,2.37,2.99,176.65%
Strawberries,0.20448179271708689,2.02,2.07,2.49,2.99,162.91%
Strawberries,0.20448179271708689,2.12,2.1,1.94,2.99,151.37%
Strawberries,0.20448179271708689,2.17,2.37,1.97,3.12,164.56%
Strawberries,0.19607843137254904,2.4,2.2,2.37,2.99,182.95%
Strawberries,0.18487394957983194,2.2,2.37,2.62,2.99,202.98%
Strawberries,0.2521008403361345,2.32,1.93,2.37,2.99,122.45%
Strawberries,0.25490196078431376,2.07,2.36,2.12,3.24,124.54%
Strawberries,0.25490196078431376,2.07,2.36,2.12,3.24,124.54%
Strawberries,0.2296918767507003,2.07,2.25,1.74,2.49,113.75%
Strawberries,0.24649859943977592,2.12,2.41,2.63,2.99,139.39%
Strawberries,0.23529411764705882,2.37,2.35,2.12,3.24,147.06%
Strawberries,0.28291316526610644,2.44,1.93,2.25,2.99,101.89%
Strawberries,0.32773109243697485,2.21,2.74,2.69,2.49,87.59%
Strawberries,0.3697478991596639,2.44,2.03,2.12,2.24,47.17%
Strawberries,0.3753501400560224,2.44,2.69,3.12,3.12,87.01%
Strawberries,0.3585434173669468,2.24,3.07,1.81,2.74,68.84%
Strawberries,0.31652661064425774,2.14,2.62,2.37,3.49,102.67%
Strawberries,0.29971988795518206,1.74,2.79,2.0,2.37,78.00%
